"","date","grade","sessions","users"
"147",2017-06-25,"2",102007,52578
"148",2017-06-25,"3",136452,76435
"149",2017-06-25,"4",184413,114778
"150",2017-06-25,"5",296809,204105
"151",2017-06-26,"1",102739,51857
"152",2017-06-26,"100",37499,16392
"153",2017-06-26,"2",123876,70558
"154",2017-06-26,"3",161404,98841
"155",2017-06-26,"4",209799,142517
"156",2017-06-26,"5",327807,238158
"157",2017-06-27,"1",107916,55139
"158",2017-06-27,"100",38924,17382
"159",2017-06-27,"2",131945,75797
"160",2017-06-27,"3",174502,107135
"161",2017-06-27,"4",227215,152120
"162",2017-06-27,"5",361229,261728
"163",2017-06-28,"1",106934,54847
"164",2017-06-28,"100",39000,17198
"165",2017-06-28,"2",131218,74572
"166",2017-06-28,"3",173554,106718
"167",2017-06-28,"4",227670,153455
"168",2017-06-28,"5",359928,263577
"169",2017-06-29,"1",108611,56399
"170",2017-06-29,"100",38986,17752
"171",2017-06-29,"2",131572,76596
"172",2017-06-29,"3",173547,107678
"173",2017-06-29,"4",228750,157215
"174",2017-06-29,"5",382465,286181
"175",2017-06-30,"1",99015,51074
"176",2017-06-30,"100",37039,16194
"177",2017-06-30,"2",121962,69140
"178",2017-06-30,"3",160100,99115
"179",2017-06-30,"4",213133,144342
"180",2017-06-30,"5",341946,248258
"181",2017-07-01,"1",88474,46510
"182",2017-07-01,"100",31684,14513
"183",2017-07-01,"2",109684,63288
"184",2017-07-01,"3",145433,90607
"185",2017-07-01,"4",199771,133288
"186",2017-07-01,"5",356136,257235
"187",2017-07-02,"1",85084,37067
"188",2017-07-02,"100",29643,11010
"189",2017-07-02,"2",106303,53450
"190",2017-07-02,"3",143006,78399
"191",2017-07-02,"4",197876,121652
"192",2017-07-02,"5",341291,234366
"193",2017-07-03,"1",112662,58516
"194",2017-07-03,"100",39523,18113
"195",2017-07-03,"2",138899,80393
"196",2017-07-03,"3",182717,115231
"197",2017-07-03,"4",240335,164334
"198",2017-07-03,"5",391744,290610
